Data,Hora,Data Valor,Produto,ISIN,Descrição,T.,Mudança,,Saldo,,ID da Ordem
20-09-2024,16:00,20-09-2024,VANGUARD FTSE ALL-WORLD HIGH DIV,IE00B8GKDB10,Comissões de transação DEGIRO e/ou taxas de terceiros,,EUR,-1.00,EUR,62.39,3d35ba86-9205-4476-b34c-8758ceba4b92
20-09-2024,16:00,20-09-2024,VANGUARD FTSE ALL-WORLD HIGH DIV,IE00B8GKDB10,"Compra 80 Vanguard FTSE All-World High Div Yield UCITS USD@61,92 EUR (IE00B8GKDB10)",,EUR,-4953.60,EUR,63.39,3d35ba86-9205-4476-b34c-8758ceba4b92
08-08-2024,17:45,08-08-2024,,,Levantamentos da sua Conta Caixa na flatexDEGIRO Bank AG: 5 016 EUR,,,,EUR,5016.99,
08-08-2024,17:45,08-08-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,5016.00,EUR,10032.99,
08-08-2024,10:05,08-08-2024,VANGUARD FTSE ALL-WORLD HIGH DIV,IE00B8GKDB10,Comissões de transação DEGIRO e/ou taxas de terceiros,,EUR,-1.00,EUR,5016.99,545b355e-841c-4da3-b5c7-9ecbd34386ee
08-08-2024,10:05,08-08-2024,VANGUARD FTSE ALL-WORLD HIGH DIV,IE00B8GKDB10,Compra 85 Vanguard FTSE All-World High Div Yield UCITS USD@59 EUR (IE00B8GKDB10),,EUR,-5015.00,EUR,5017.99,545b355e-841c-4da3-b5c7-9ecbd34386ee
07-08-2024,09:30,07-08-2024,,,flatex Deposit,,EUR,10000.00,EUR,10032.99,
07-08-2024,05:15,06-08-2024,,,"Levantamentos da sua Conta Caixa na flatexDEGIRO Bank AG: 1 353,35 EUR",,,,EUR,32.99,
07-08-2024,05:15,06-08-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,1353.35,EUR,1386.34,
06-08-2024,10:36,06-08-2024,VANGUARD FTSE ALL-WORLD HIGH DIV,IE00B8GKDB10,Comissões de transação DEGIRO e/ou taxas de terceiros,,EUR,-1.00,EUR,32.99,d8019436-f51e-4ffd-88be-4329ed258f61
06-08-2024,10:36,06-08-2024,VANGUARD FTSE ALL-WORLD HIGH DIV,IE00B8GKDB10,"Compra 23 Vanguard FTSE All-World High Div Yield UCITS USD@58,798 EUR (IE00B8GKDB10)",,EUR,-1352.35,EUR,33.99,d8019436-f51e-4ffd-88be-4329ed258f61
06-08-2024,10:01,06-08-2024,,,flatex Deposit,,EUR,1000.00,EUR,1386.34,
16-07-2024,19:01,16-07-2024,,,"Depósitos na sua Conta Caixa na flatexDEGIRO Bank AG: 165,18 EUR",,,,EUR,386.34,
16-07-2024,19:01,16-07-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-165.18,EUR,221.16,
16-07-2024,07:04,15-07-2024,,,Crédito de divisa,,EUR,165.18,EUR,386.34,
16-07-2024,07:04,15-07-2024,,,Levantamento de divisa,1.0922,USD,-180.40,USD,0.00,
15-07-2024,17:45,15-07-2024,,,"Levantamentos da sua Conta Caixa na flatexDEGIRO Bank AG: 1,37 EUR",,,,EUR,221.16,
15-07-2024,17:45,15-07-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,1.37,EUR,222.53,
15-07-2024,10:38,18-06-2024,ADR ON ALIBABA GROUP HOLDING,US01609W1027,ADR/GDR Pass-Through Fee,,EUR,-1.37,EUR,221.16,
15-07-2024,07:33,12-07-2024,ADR ON ALIBABA GROUP HOLDING,US01609W1027,ADR/GDR Pass-Through Fee,,USD,-2.20,USD,180.40,
15-07-2024,07:26,12-07-2024,ADR ON ALIBABA GROUP HOLDING,US01609W1027,Dividendo,,USD,182.60,USD,182.60,
07-07-2024,06:20,30-06-2024,,,Flatex Interest Income,,EUR,0.00,EUR,222.53,
24-06-2024,17:16,24-06-2024,,,"Depósitos na sua Conta Caixa na flatexDEGIRO Bank AG: 17,21 EUR",,,,EUR,222.53,
24-06-2024,17:16,24-06-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-17.21,EUR,205.32,
23-06-2024,23:39,21-06-2024,FLOW TRADERS LTD,BMG3602E1084,Imposto sobre dividendo,,EUR,-3.04,EUR,222.53,
23-06-2024,23:39,21-06-2024,FLOW TRADERS LTD,BMG3602E1084,Dividendo,,EUR,20.25,EUR,225.57,
04-06-2024,04:18,03-06-2024,,,"Depósitos na sua Conta Caixa na flatexDEGIRO Bank AG: 31,99 EUR",,,,EUR,205.32,
04-06-2024,04:18,03-06-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-31.99,EUR,173.33,
02-06-2024,07:13,31-05-2024,,,Crédito de divisa,,EUR,31.99,EUR,205.32,
02-06-2024,07:13,31-05-2024,,,Levantamento de divisa,8.5030,HKD,-272.00,HKD,0.00,
02-06-2024,00:23,31-05-2024,TENCENT HOLDINGS LTD,KYG875721634,Dividendo,,HKD,272.00,HKD,272.00,
17-05-2024,16:45,17-05-2024,,,"Depósitos na sua Conta Caixa na flatexDEGIRO Bank AG: 114,68 EUR",,,,EUR,173.33,
17-05-2024,16:45,17-05-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-114.68,EUR,58.65,
17-05-2024,11:53,17-05-2024,ADR ON ALIBABA GROUP HOLDING,US01609W1027,Comissões de transação DEGIRO e/ou taxas de terceiros,,EUR,-3.90,EUR,173.33,3dfbca73-82e3-483d-aa00-e0ef61cc7a6b
17-05-2024,11:53,17-05-2024,ADR ON ALIBABA GROUP HOLDING,US01609W1027,Compra 37 ADR on Alibaba Group Holding@81 EUR (US01609W1027),,EUR,-2997.00,EUR,177.23,3dfbca73-82e3-483d-aa00-e0ef61cc7a6b
17-05-2024,11:52,17-05-2024,COLRUYT,BE0974256852,"Venda 36 Colruyt@43,34 EUR (BE0974256852)",,EUR,1560.24,EUR,3174.23,993f2410-1e95-49b3-b97d-786b4680d939
17-05-2024,11:52,17-05-2024,COLRUYT,BE0974256852,Comissões de transação DEGIRO e/ou taxas de terceiros,,EUR,-4.90,EUR,1613.99,993f2410-1e95-49b3-b97d-786b4680d939
17-05-2024,11:52,17-05-2024,COLRUYT,BE0974256852,"Venda 36 Colruyt@43,34 EUR (BE0974256852)",,EUR,1560.24,EUR,1618.89,993f2410-1e95-49b3-b97d-786b4680d939
02-04-2024,03:30,31-03-2024,,,Flatex Interest Income,,EUR,0.00,EUR,58.65,
05-02-2024,22:47,05-02-2024,,,"Levantamentos da sua Conta Caixa na flatexDEGIRO Bank AG: 7,5 EUR",,,,EUR,58.65,
05-02-2024,22:47,05-02-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,7.50,EUR,66.15,
05-02-2024,07:18,31-01-2024,,,Custo de Conectividade DEGIRO 2024 (Euronext Brussels - EBR),,EUR,-2.50,EUR,58.65,
05-02-2024,07:18,31-01-2024,,,Custo de Conectividade DEGIRO 2024 (Euronext Amsterdam - EAM),,EUR,-2.50,EUR,61.15,
05-02-2024,07:18,31-01-2024,,,Custo de Conectividade DEGIRO 2024 (Tradegate AG - TDG),,EUR,-2.50,EUR,63.65,
23-01-2024,17:31,23-01-2024,,,"Depósitos na sua Conta Caixa na flatexDEGIRO Bank AG: 65,57 EUR",,,,EUR,66.15,
23-01-2024,17:31,23-01-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-65.57,EUR,0.58,
23-01-2024,07:41,22-01-2024,,,Crédito de divisa,,EUR,65.57,EUR,66.15,
23-01-2024,07:41,22-01-2024,,,Levantamento de divisa,1.0910,USD,-71.54,USD,0.00,
22-01-2024,08:36,18-01-2024,ADR ON ALIBABA GROUP HOLDING,US01609W1027,ADR/GDR Pass-Through Fee,,USD,-1.46,USD,71.54,
22-01-2024,07:46,18-01-2024,ADR ON ALIBABA GROUP HOLDING,US01609W1027,Dividendo,,USD,73.00,USD,73.00,
03-01-2024,19:47,03-01-2024,,,"Levantamentos da sua Conta Caixa na flatexDEGIRO Bank AG: 32,07 EUR",,,,EUR,0.58,
03-01-2024,19:47,03-01-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,32.07,EUR,32.65,
02-01-2024,16:52,31-12-2023,,,Juros,,EUR,-32.07,EUR,0.58,
02-01-2024,04:31,02-01-2024,,,Flatex Interest Income,,EUR,0.00,EUR,32.65,
28-12-2023,11:47,27-12-2023,,,"Depósitos na sua Conta Caixa na flatexDEGIRO Bank AG: 32,65 EUR",,,,EUR,32.65,
28-12-2023,11:47,27-12-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-32.65,EUR,0.00,
27-12-2023,16:21,27-12-2023,COLRUYT,BE0974256852,Comissões de transação DEGIRO e/ou taxas de terceiros,,EUR,-4.90,EUR,32.65,85ad98a5-d55f-4aab-8b11-742ce11539ec
27-12-2023,16:21,27-12-2023,COLRUYT,BE0974256852,"Venda 178 Colruyt@41,14 EUR (BE0974256852)",,EUR,7322.92,EUR,37.55,85ad98a5-d55f-4aab-8b11-742ce11539ec
26-12-2023,07:43,22-12-2023,COLRUYT,BE0974256852,Dividendo,,EUR,600.00,EUR,-7285.37,
26-12-2023,07:43,22-12-2023,COLRUYT,BE0974256852,Imposto sobre dividendo,,EUR,-180.00,EUR,-7885.37,
21-12-2023,09:48,21-12-2023,FLOW TRADERS LTD,BMG3602E1084,Comissões de transação DEGIRO e/ou taxas de terceiros,,EUR,-4.90,EUR,-7705.37,3b1686a1-059d-4373-8866-07a34197eff5
21-12-2023,09:48,21-12-2023,FLOW TRADERS LTD,BMG3602E1084,"Compra 125 Flow Traders Ltd@17,91 EUR (BMG3602E1084)",,EUR,-2238.75,EUR,-7700.47,3b1686a1-059d-4373-8866-07a34197eff5
21-12-2023,09:48,21-12-2023,FLOW TRADERS LTD,BMG3602E1084,"Compra 10 Flow Traders Ltd@17,91 EUR (BMG3602E1084)",,EUR,-179.10,EUR,-5461.72,3b1686a1-059d-4373-8866-07a34197eff5
20-12-2023,17:35,20-12-2023,FLOW TRADERS LTD,BMG3602E1084,"Venda 19 Flow Traders Ltd@18,08 EUR (BMG3602E1084)",,EUR,343.52,EUR,-5282.62,fd7c7cb3-3c7a-49b9-
,,,,,,,,,,,ba77-e5a4be9128c9
20-12-2023,17:35,20-12-2023,FLOW TRADERS LTD,BMG3602E1084,"Venda 94 Flow Traders Ltd@18,08 EUR (BMG3602E1084)",,EUR,1699.52,EUR,-5626.14,fd7c7cb3-3c7a-49b9-ba77-e5a4be9128c9
20-12-2023,17:25,20-12-2023,FLOW TRADERS LTD,BMG3602E1084,"Venda 3 Flow Traders Ltd@18,04 EUR (BMG3602E1084)",,EUR,54.12,EUR,-7325.66,fd7c7cb3-3c7a-49b9-ba77-e5a4be9128c9
20-12-2023,17:24,20-12-2023,FLOW TRADERS LTD,BMG3602E1084,Comissões de transação DEGIRO e/ou taxas de terceiros,,EUR,-4.90,EUR,-7379.78,fd7c7cb3-3c7a-49b9-ba77-e5a4be9128c9
