Data,Hora,Produto,ISIN,Bolsa de,Bolsa,Quantidade,Preços,,Valor local,,Valor,,Taxa de Câmbio,Custos de transação,,Total,,ID da Ordem
26-10-2022,22:00,COL P40.00 17MAR23,BEEN05499056,LFF,,3,0.0000,EUR,0.00,EUR,0.00,EUR,,,EUR,0.00,EUR,
26-10-2022,22:00,COL P35.00 16DEC22,BEEN02796090,LFF,,1,0.0000,EUR,0.00,EUR,0.00,EUR,,,EUR,0.00,EUR,
30-09-2022,11:15,COL P24.00 16DEC22,BEEN05993769,LFF,XBRD,1,3.2000,EUR,-320.00,EUR,-320.00,EUR,,-0.75,EUR,-320.75,EUR,cb8baf97-999f-40fa-8eed-c8c5acb1bb49
01-09-2022,14:04,COL P20.00 17MAR23,BEEN07268574,LFF,XBRD,1,0.5000,EUR,-50.00,EUR,-50.00,EUR,,-0.75,EUR,-50.75,EUR,a65bd5c5-a626-4dd2-93af-6532bdec84ff
01-09-2022,13:42,COL P40.00 17MAR23,BEEN05499056,LFF,XBRD,-3,13.6000,EUR,4080.00,EUR,4080.00,EUR,,-2.25,EUR,4077.75,EUR,f33400a2-8cb6-46ff-9570-2ce22caf2979
01-09-2022,13:40,COL P50.00 16SEP22,BEEN02643227,LFF,XBRD,2,23.0000,EUR,-4600.00,EUR,-4600.00,EUR,,-1.50,EUR,-4601.50,EUR,b2c511c4-f104-4ebd-861d-dcc8e09fbe42
31-08-2022,22:00,COLRUYT,BE0974256852,EBR,,100,50.0000,EUR,-5000.00,EUR,-5000.00,EUR,,,EUR,-5000.00,EUR,
31-08-2022,22:00,COL P50.00 16SEP22,BEEN02643227,LFF,,1,0.0000,EUR,0.00,EUR,0.00,EUR,,,EUR,0.00,EUR,
24-08-2022,11:18,COL P24.00 16DEC22,BEEN05993769,LFF,XBRD,-1,0.6100,EUR,61.00,EUR,61.00,EUR,,-0.75,EUR,60.25,EUR,bce7f8fa-51d2-4e0e-9aac-ff5807e58f13
16-08-2022,13:12,"TENCENT HLDGS   HD-,00002",KYG875721634,FRA,FRAB,20,37.8950,EUR,-757.90,EUR,-757.90,EUR,,-4.40,EUR,-762.30,EUR,ca3c219b-8e3d-4df9-853c-f073efa05835
16-08-2022,13:08,ALIBABA GR.HLDG SP.ADR 8,US01609W1027,FRA,FRAB,8,91.3500,EUR,-730.80,EUR,-730.80,EUR,,-4.40,EUR,-735.20,EUR,f6804b16-c9c0-4113-8dc7-6f80a2a83037
16-08-2022,13:07,FLOWTRADERS,NL0011279492,EAM,MESI,35,21.3400,EUR,-746.90,EUR,-746.90,EUR,,-4.40,EUR,-751.30,EUR,2dc42fd5-c1c4-456c-811c-b0754699c69c
09-08-2022,16:14,VANGUARD FTSE ALL-WORLD UCITS ETF - (USD) ACCUMULATING,IE00BK5BQT80,XET,XETA,7,98.8900,EUR,-692.23,EUR,-692.23,EUR,,,EUR,-692.23,EUR,7c99ea40-7fae-4142-9df9-7a129e939e62
27-07-2022,11:01,VANGUARD FTSE ALL-WORLD UCITS ETF - (USD) ACCUMULATING,IE00BK5BQT80,XET,XETA,6,96.4500,EUR,-578.70,EUR,-578.70,EUR,,,EUR,-578.70,EUR,2b69a6e4-dde4-4fb4-9ca4-300cb4b66a6a
22-07-2022,15:33,FLOWTRADERS,NL0011279492,EAM,MESI,15,22.5000,EUR,-337.50,EUR,-337.50,EUR,,-4.40,EUR,-341.90,EUR,39ae162f-7eb1-408b-aad1-f95ca82e4300
15-07-2022,22:00,COL P25.00 15JUL22,BEEN07090374,LFF,,-3,0.0000,EUR,0.00,EUR,0.00,EUR,,,EUR,0.00,EUR,
20-06-2022,10:45,VANGUARD FTSE ALL-WORLD UCITS ETF - (USD) ACCUMULATING,IE00BK5BQT80,XET,XETA,7,88.6700,EUR,-620.69,EUR,-620.69,EUR,,-0.50,EUR,-621.19,EUR,3c0a65be-8020-4d17-b221-8ffeb9aad7ee
15-06-2022,09:21,COL P25.00 17JUN22,BEEN07094111,LFF,XBRD,-3,0.1700,EUR,51.00,EUR,51.00,EUR,,-2.25,EUR,48.75,EUR,c94565bc-14d9-46f2-9420-4918d61eea5c
15-06-2022,09:21,COL P35.00 16DEC22,BEEN02796090,LFF,XBRD,-2,9.8000,EUR,1960.00,EUR,1960.00,EUR,,-1.50,EUR,1958.50,EUR,ddda615f-e5be-4af8-ac4a-dd140e5e60c7
15-06-2022,09:19,COL P35.00 17JUN22,BEEN02019725,LFF,XBRD,2,8.9000,EUR,-1780.00,EUR,-1780.00,EUR,,-1.50,EUR,-1781.50,EUR,dc459ccf-1ba3-4000-ac15-2219dc1e7f7f
